country,arrivals,revenue_dollars,gdp_dollars,percent_of_gdp,primary_energy_consumption_per_capita_kwh/person,annual_co2_emissions_per_capita),tourist_departures,arrival_rank,revenue_rank,code,population_size_in_millions
Austria,23825235,19982240176000,397592105263000,5.036527378305599,48373.32215789474,8.265922868421052,9867777,12,17,AUT,8561052631
Canada,29377875,20998492263000,1556232105263000,1.356676974869895,112214.08426315789,16.351894157894737,53301071,18,19,CAN,35173157894
China,128365588,23231000000000,7865837777777000,1.2730883169138567,22115.587166666668,6.262648355555555,78077000,28,20,CHN,1361403157894
Croatia,49841294,8931797157000,56243684210000,15.982883326368198,23286.43257894737,4.697175215789474,3889500,23,7,HRV,4191578947
Czechia,27231875,7118441388000,198151111111000,3.66802266978455,47606.34677777778,10.90850975,6745833,16,4,CZE,10483157894
Denmark,26891235,8059334105000,321697894736000,2.503752263124134,38060.3877368421,7.782569757894737,7121222,15,5,DNK,5634210526
France,194400352,60693538500000,2572769444444000,2.365995613645683,46578.25944444445,5.785814544444444,33210933,30,28,FRA,65738947368
Germany,28694411,46445487611000,3461572777777000,1.3459457664659065,46805.65522222222,9.915571833333331,87730235,17,26,DEU,82137894736
Greece,22791181,15599008842000,246132631578000,6.581500217213374,32479.072578947365,8.13927814736842,5443153,10,13,GRC,10886315789
"Hong Kong SAR, China",41085705,28737235294000,261040555555000,10.795278480984136,42946.49005555556,5.864413616666667,78516833,21,22,HKG,7166842105
Hungary,44073647,6532177421000,136230000000000,4.80136533349548,27573.116210526317,5.218141063157894,17508444,22,3,HUN,9901578947
Italy,74091505,42415801500000,2028433333333000,2.0915868143981187,33111.542166666666,6.975173638888889,51322777,25,25,ITA,59418421052
Japan,13547517,20943616666000,5099418888888000,0.4160760210148686,44325.16172222222,9.632698472222224,16317777,4,18,JPN,127233684210
"Macao SAR, China",26256117,24303888888000,33211666666000,69.90449199735642,19805.076777777776,2.5768203166666668,1053937,14,21,MAC,591052631
Malaysia,22265882,17186166666000,259983888888000,6.820321940003026,34202.77733333333,7.240672483333333,31481000,9,15,MYS,29974736842
Mexico,87918176,15630877777000,1122787777777000,1.388740200392117,18583.608111111116,4.103036161111111,97678500,26,14,MEX,116716842105
Netherlands,12760823,19644529125000,833569473684000,2.342255149566894,63581.91652631579,9.887851931578949,18388529,3,16,NLD,16862105263
Poland,70040062,10907795388000,462903333333000,2.36040425182702,29302.003333333338,8.411758861111112,44445117,24,9,POL,37970526315
Russian Federation,24193941,13382444444000,1452630555555000,0.9584332440952004,54990.02711111112,11.314215555555556,35778555,13,10,RUS,143662631578
Saudi Arabia,16734937,9964933333000,582322777777000,1.5592630626403412,82505.54505555556,17.771574722222223,16440062,6,8,SAU,31016842105
Singapore,12735558,13561375000000,253718333333000,5.457516816176316,145047.57083333333,8.840449522222222,7316888,2,11,SGP,5188421052
Slovak Republic,14526000,2236474368000,90132631578000,2.459418561264112,36747.03647368421,6.945355936842105,3298066,5,1,SVK,5411052631
South Africa,11433152,8667281578000,353753684210000,2.5090222630999897,26451.693684210524,8.487700305263157,,1,6,ZAF,54064736842
Spain,99926705,66550207000000,1321116111111000,4.833590513479384,36468.53038888889,6.464623594444444,15680000,27,29,ESP,46195263157
Thailand,22833750,32009166666000,351758888888000,8.706141000751208,17874.019333333334,3.6132294277777777,5719117,11,24,THA,69164210526
Turkiye,33021529,29166062500000,729681666666000,3.749362451739633,18179.65538888889,4.501708083333333,6950833,20,23,TUR,76290526315
Ukraine,19149529,3518111111000,129652222222000,2.716775977312308,28847.772666666668,6.088168716666667,21470428,7,2,UKR,45160000000
United Arab Emirates,19745000,14983900065000,315910000000000,4.18962406507065,136910.31527777776,24.113671,16635833,8,12,ARE,7934736842
United Kingdom,32872176,52078041666000,2699111111111000,1.8838393521420889,38127.46505555556,7.539518172222222,69882500,19,27,GBR,64014736842
United States,151696074,166944315789000,16748166842105000,1.0029257587763152,82697.68852631579,17.689408868421054,121791444,29,30,USA,315208947368
