country,arrivals,revenue_dollars,gdp_dollars,percent_of_gdp,primary_energy_consumption_per_capita_kwh/person,annual_co2_emissions_per_capita),tourist_departures,arrival_rank,revenue_rank
Hungary,44073647.058823526,6532177421.052631,136230000000.0,4.80136533349548,27573.116210526314,5.218141063157894,17508.444444444445,12,1
Czechia,27231875.0,7118441388.888889,198151111111.1111,3.66802266978455,47606.34677777778,10.90850975,6745.833333333333,6,2
Denmark,26891235.29411765,8059334105.263158,321697894736.8421,2.503752263124134,38060.3877368421,7.782569757894737,7121.222222222223,5,3
Croatia,49841294.11764706,8931797157.894737,56243684210.52631,15.982883326368198,23286.432578947366,4.697175215789474,3889.5,13,4
Poland,70040062.5,10907795388.88889,462903333333.3333,2.3604042518270196,29302.003333333338,8.411758861111112,44445.117647058825,14,5
Russian Federation,24193941.17647059,13382444444.444445,1452630555555.5557,0.9584332440952004,54990.027111111114,11.314215555555556,35778.555555555555,3,6
Mexico,87918176.47058824,15630877777.777779,1122787777777.7778,1.388740200392117,18583.608111111113,4.103036161111111,97678.5,16,7
Austria,23825235.29411765,19982240176.47059,397592105263.1579,5.036527378305599,48373.32215789474,8.265922868421052,9867.777777777777,2,8
Canada,29377875.0,20998492263.157894,1556232105263.158,1.356676974869895,112214.08426315789,16.351894157894737,53301.07142857143,8,9
China,128365588.23529412,23231000000.0,7865837777777.777,1.2730883169138567,22115.587166666668,6.262648355555555,78077.0,18,10
"Macao SAR, China",26256117.647058822,24303888888.88889,33211666666.666668,69.90449199735642,19805.076777777776,2.5768203166666668,1053.9375,4,11
"Hong Kong SAR, China",41085705.88235294,28737235294.117645,261040555555.55554,10.795278480984136,42946.49005555556,5.864413616666667,78516.83333333333,11,12
Turkiye,33021529.411764707,29166062500.0,729681666666.6666,3.7493624517396333,18179.65538888889,4.501708083333333,6950.833333333333,10,13
Thailand,22833750.0,32009166666.666668,351758888888.8889,8.706141000751208,17874.019333333334,3.6132294277777777,5719.117647058823,1,14
Italy,74091505.97426471,42415801500.0,2028433333333.3333,2.0915868143981187,33111.542166666666,6.975173638888889,51322.77777777778,15,15
Germany,28694411.76470588,46445487611.111115,3461572777777.778,1.3459457664659065,46805.65522222222,9.915571833333333,87730.23529411765,7,16
United Kingdom,32872176.470588237,52078041666.666664,2699111111111.1113,1.8838393521420889,38127.465055555556,7.539518172222222,69882.5,9,17
France,194400352.94117647,60693538500.0,2572769444444.4443,2.365995613645683,46578.25944444445,5.785814544444444,33210.933333333334,20,18
Spain,99926705.88235295,66550207000.0,1321116111111.111,4.8335905134793835,36468.53038888889,6.464623594444444,15680.0,17,19
United States,151696074.44852942,166944315789.4737,16748166842105.264,1.0029257587763152,82697.68852631579,17.689408868421054,121791.44444444444,19,20
