country,arrivals,revenue_dollars,gdp_dollars,percent_of_gdp,primary_energy_consumption_per_capita_kwh/person,annual_co2_emissions_per_capita),tourist_departures,arrival_rank,revenue_rank
Slovak Republic,14526000.0,2236474368.4210525,90132631578.94737,2.459418561264112,36747.03647368421,6.945355936842105,3298.0666666666666,15,1
Bahrain,8657176.470588235,2270444444.4444447,27225555555.555557,8.56131191013957,152938.23166666666,23.347384777777776,3397.6,3,2
Ukraine,19149529.411764707,3518111111.111111,129652222222.22223,2.7167759773123077,28847.772666666668,6.088168716666667,21470.428571428572,17,3
Bulgaria,8932941.176470589,3847884333.3333335,50443333333.333336,8.001532357935309,29159.454055555554,6.360451083333333,4677.277777777777,4,4
Hungary,44073647.058823526,6532177421.052631,136230000000.0,4.80136533349548,27573.116210526314,5.218141063157894,17508.444444444445,32,5
Czechia,27231875.0,7118441388.888889,198151111111.1111,3.66802266978455,47606.34677777778,10.90850975,6745.833333333333,26,6
Morocco,9090470.588235294,7646407000.0,101648888888.88889,7.571470056665605,5966.472344444444,1.6242544444444444,2061.222222222222,6,7
Denmark,26891235.29411765,8059334105.263158,321697894736.8421,2.503752263124134,38060.3877368421,7.782569757894737,7121.222222222223,25,8
South Africa,11433152.946920956,8667281578.947369,353753684210.5263,2.5090222630999897,26451.693684210524,8.487700305263157,,11,9
"Egypt, Arab Rep.",10318625.0,8874833333.333334,224549444444.44446,4.845892225021971,9817.214083333332,2.2918138722222223,5306.166666666667,10,10
Croatia,49841294.11764706,8931797157.894737,56243684210.52631,15.982883326368198,23286.432578947366,4.697175215789474,3889.5,33,11
Indonesia,8595764.705882354,9269731888.88889,723450555555.5555,1.3609920811157885,7069.349027777778,1.875873311111111,6565.222222222223,2,12
Ireland,8566500.0,9482823944.444445,272858333333.33334,3.5249805735751405,40065.204722222225,9.265922072222223,6802.888888888889,1,13
Saudi Arabia,16734937.5,9964933333.333334,582322777777.7778,1.5592630626403412,82505.54505555556,17.771574722222223,16440.0625,16,14
Poland,70040062.5,10907795388.88889,462903333333.3333,2.3604042518270196,29302.003333333338,8.411758861111112,44445.117647058825,34,15
Russian Federation,24193941.17647059,13382444444.444445,1452630555555.5557,0.9584332440952004,54990.027111111114,11.314215555555556,35778.555555555555,23,16
Singapore,12735558.823529411,13561375000.0,253718333333.33334,5.457516816176316,145047.57083333333,8.840449522222222,7316.888888888889,12,17
Portugal,10124117.647058824,14712998842.105263,224159473684.21054,6.532567650348745,27982.181736842103,5.206898621052631,1849.7777777777778,8,18
United Arab Emirates,19745000.0,14983900065.104166,315910000000.0,4.18962406507065,136910.31527777776,24.113671,16635.833333333332,18,19
"Korea, Rep.",10261352.94117647,15403555555.555555,1265995555555.5557,1.1972955160310592,61475.73783333333,11.747366444444445,15118.777777777777,9,20
Greece,22791181.818181816,15599008842.105263,246132631578.94736,6.581500217213374,32479.072578947365,8.13927814736842,5443.153846153846,20,21
Mexico,87918176.47058824,15630877777.777779,1122787777777.7778,1.388740200392117,18583.608111111113,4.103036161111111,97678.5,36,22
Switzerland,9244533.333333334,15826486842.105263,618506315789.4736,2.603320223690567,42594.47505263158,5.18936472631579,19786.846153846152,7,23
India,9051750.0,16631670444.444445,1739843333333.3333,0.9433008098827824,5266.602494444444,1.4445423833333333,15003.941176470587,5,24
Malaysia,22265882.352941178,17186166666.666668,259983888888.8889,6.820321940003026,34202.77733333333,7.240672483333333,31481.0,19,25
Netherlands,12760823.529411765,19644529125.0,833569473684.2106,2.3422551495668946,63581.91652631579,9.887851931578947,18388.529411764706,13,26
Austria,23825235.29411765,19982240176.47059,397592105263.1579,5.036527378305599,48373.32215789474,8.265922868421052,9867.777777777777,22,27
Japan,13547517.635569854,20943616666.666668,5099418888888.889,0.4160760210148686,44325.16172222222,9.632698472222224,16317.777777777777,14,28
Canada,29377875.0,20998492263.157894,1556232105263.158,1.356676974869895,112214.08426315789,16.351894157894737,53301.07142857143,28,29
China,128365588.23529412,23231000000.0,7865837777777.777,1.2730883169138567,22115.587166666668,6.262648355555555,78077.0,38,30
"Macao SAR, China",26256117.647058822,24303888888.88889,33211666666.666668,69.90449199735642,19805.076777777776,2.5768203166666668,1053.9375,24,31
"Hong Kong SAR, China",41085705.88235294,28737235294.117645,261040555555.55554,10.795278480984136,42946.49005555556,5.864413616666667,78516.83333333333,31,32
Turkiye,33021529.411764707,29166062500.0,729681666666.6666,3.7493624517396333,18179.65538888889,4.501708083333333,6950.833333333333,30,33
Thailand,22833750.0,32009166666.666668,351758888888.8889,8.706141000751208,17874.019333333334,3.6132294277777777,5719.117647058823,21,34
Italy,74091505.97426471,42415801500.0,2028433333333.3333,2.0915868143981187,33111.542166666666,6.975173638888889,51322.77777777778,35,35
Germany,28694411.76470588,46445487611.111115,3461572777777.778,1.3459457664659065,46805.65522222222,9.915571833333333,87730.23529411765,27,36
United Kingdom,32872176.470588237,52078041666.666664,2699111111111.1113,1.8838393521420889,38127.465055555556,7.539518172222222,69882.5,29,37
France,194400352.94117647,60693538500.0,2572769444444.4443,2.365995613645683,46578.25944444445,5.785814544444444,33210.933333333334,40,38
Spain,99926705.88235295,66550207000.0,1321116111111.111,4.8335905134793835,36468.53038888889,6.464623594444444,15680.0,37,39
United States,151696074.44852942,166944315789.4737,16748166842105.264,1.0029257587763152,82697.68852631579,17.689408868421054,121791.44444444444,39,40
