,code,sri_score,country,fragile_state_score,year,population,sdg_index_score,1no_poverty,2no_hunger,3health_wellbeing,4quality_education,5gender_equality,6cleanwater_sanitation,7affordable_clean_energy,8work_economy_growth,9industry_innov_infrast,10reduced_inequalities,11cities_communities,12consumption_production,13climate,14life_below_water,15life_on_land,16peace_justice_stroninstitutions,17partnership_for_goals,tourism_score_x,global_score,global_rank,tourism_score_y,global_score_2,global_rank_2
0,FIN,82.74999999999999,Finland,88.15126050420169,2020.0,5525215.0,86.4,99.5,62.4,95.5,97.2,91.2,94.3,93.0,86.5,95.9,98.5,91.2,57.7,68.8,88.1,85.1,92.5,71.4,89.91428571428571,85.76708683473389,1,86.78571428571429,85.89565826330532,1
1,NOR,83.99999999999999,Norway,87.73109243697479,2020.0,5367955.0,82.2,99.2,61.7,97.1,98.0,88.9,83.7,98.5,85.2,92.2,99.4,93.2,41.3,20.5,74.6,74.1,92.4,96.8,83.72857142857143,84.6436974789916,2,81.19591836734693,84.30900360144058,4
2,SWE,83.25000000000001,Sweden,83.27731092436974,2020.0,10321414.0,86.3,98.8,64.8,96.7,99.8,91.1,95.1,98.0,84.2,98.5,95.0,92.4,56.0,69.9,69.4,80.2,88.8,87.8,90.67142857142856,84.27577030812326,3,88.5,85.00910364145659,2
3,DNK,82.0,Denmark,85.63025210084034,2020.0,5810778.0,85.1,99.2,72.1,95.3,99.3,86.8,90.7,87.7,86.7,96.6,98.2,91.8,37.3,61.1,76.1,92.8,93.2,81.3,88.2,84.24341736694677,4,84.89319727891157,84.17448312658397,5
4,CHE,82.62500000000001,Switzerland,84.9579831932773,2020.0,8606431.0,80.9,99.4,70.6,97.1,98.5,85.1,90.5,83.4,81.0,97.0,82.4,99.1,48.2,61.1,,66.4,82.9,52.1,85.87142857142858,82.82766106442577,5,83.45510204081633,83.67936174469787,6
5,ISL,,Iceland,86.47058823529413,2020.0,364340.0,78.1,99.8,57.1,96.8,98.1,87.0,59.8,99.6,76.5,87.3,100.0,91.2,37.7,51.4,62.2,54.0,94.2,74.1,86.11428571428571,82.28529411764706,6,83.30136054421769,84.88597438975592,3
6,NZL,81.375,New Zealand,86.1344537815126,2020.0,5026496.0,76.8,,59.5,93.1,94.1,90.3,89.6,84.3,87.5,88.7,81.3,87.2,43.4,65.7,53.2,49.6,89.3,71.8,83.97142857142858,81.43648459383753,7,80.97210884353741,82.82718754168333,7
7,LUX,,Luxembourg,84.03361344537815,2020.0,626079.0,78.1,100.0,59.1,96.8,98.3,81.3,81.6,56.5,85.3,88.8,84.0,97.6,39.5,49.8,,67.8,90.8,72.2,79.82857142857142,81.06680672268908,8,76.25850340136054,80.14605842336934,11
8,DEU,78.75,Germany,81.00840336134455,2020.0,83267655.0,83.0,99.5,72.4,94.2,97.2,80.0,88.4,77.2,86.6,95.1,88.1,91.3,53.1,64.7,74.0,79.3,90.3,80.5,85.31428571428572,80.91946778711485,9,82.02244897959183,80.5936174469788,8
9,IRL,79.125,Ireland,83.36134453781513,2020.0,4925074.0,79.3,99.9,67.7,94.8,99.0,76.5,82.9,74.8,85.6,86.0,90.3,88.8,46.4,54.8,72.5,88.7,88.1,51.0,82.15714285714284,80.59544817927171,10,78.91292517006802,80.46642323596105,9
10,CAN,78.49999999999999,Canada,83.94957983193278,2020.0,37758232.0,78.4,99.6,65.4,94.0,99.4,82.7,86.1,80.3,82.8,86.7,89.3,92.7,51.7,39.9,62.2,60.8,83.0,76.5,80.81428571428572,80.28319327731093,11,76.93537414965986,79.79498466053087,13
11,AUT,78.25,Austria,79.49579831932773,2020.0,8901106.0,83.1,99.4,73.1,92.8,97.9,84.0,92.2,86.0,82.6,96.3,94.6,90.9,49.6,57.8,,73.6,90.5,68.4,85.85714285714285,80.28193277310923,12,81.90544217687075,79.88374683206615,12
12,NLD,79.125,Netherlands,82.26890756302521,2020.0,17402277.0,79.3,99.2,67.7,96.0,99.3,82.0,87.2,72.0,86.5,93.3,89.8,96.5,47.7,43.7,55.3,78.2,87.3,67.3,82.54285714285716,80.2313025210084,13,79.07551020408164,80.15647258903562,10
13,AUS,78.25,Australia,81.76470588235294,2020.0,25544179.0,75.4,99.3,56.7,95.4,89.6,81.1,93.9,72.2,84.1,92.2,79.2,89.0,46.7,16.0,65.9,64.1,83.7,71.9,75.44285714285715,78.47156862745098,14,72.22244897959183,77.41238495398159,15
14,FRA,74.875,France,74.87394957983193,2020.0,64457760.0,81.6,99.7,71.3,93.4,99.6,87.5,89.3,78.6,84.5,92.6,87.5,89.3,58.8,74.5,65.6,69.5,75.2,71.2,85.77142857142857,77.11631652661065,15,82.63809523809525,77.46234827264239,14
15,SVN,72.625,Slovenia,77.56302521008404,2020.0,2116252.0,81.0,99.3,66.9,93.0,95.6,77.2,87.8,80.2,84.3,80.4,100.0,87.3,54.1,68.9,71.3,83.3,82.3,64.5,84.87142857142855,77.06267507002802,16,79.9673469387755,76.71845738295319,18
16,PRT,72.875,Portugal,77.73109243697479,2020.0,10298399.0,79.7,99.9,63.3,91.8,98.6,83.5,80.3,83.5,81.5,79.5,84.4,88.4,66.4,83.9,49.5,73.8,82.8,63.5,84.71428571428571,76.7686974789916,17,77.7326530612245,76.11291516606643,20
17,JPN,74.875,Japan,74.78991596638656,2020.0,125542770.0,79.0,99.3,74.6,94.4,93.9,60.9,84.9,72.6,87.8,94.6,80.5,85.8,60.9,73.9,55.7,63.3,87.1,73.0,84.22857142857141,76.22163865546219,18,82.12448979591836,77.26313525410164,16
18,BEL,74.75,Belgium,74.03361344537815,2020.0,11541273.0,79.4,99.4,71.2,93.2,95.3,87.2,70.6,74.0,84.5,96.4,100.0,90.2,44.9,53.6,56.7,82.0,85.4,65.7,84.55714285714286,76.06120448179271,19,80.22993197278912,76.33784847272243,19
19,GBR,77.125,United Kingdom,66.72268907563026,2020.0,66951174.0,81.3,98.9,67.1,93.2,98.2,83.6,94.4,74.8,82.1,91.6,71.5,93.3,54.2,71.4,76.1,86.2,82.1,63.9,82.55714285714285,75.04922969187675,20,78.7469387755102,74.19820928371348,23
20,EST,74.0,Estonia,69.15966386554622,2020.0,1329086.0,81.1,100.0,64.8,89.9,96.0,77.3,84.1,78.0,80.5,81.3,89.1,92.5,52.2,62.8,87.6,96.1,90.5,55.1,82.0142857142857,74.7532212885154,21,74.78367346938775,72.64777911164465,24
21,KOR,72.75,South Korea,73.36134453781513,2020.0,51858128.0,77.8,99.5,81.8,92.4,92.3,65.8,74.0,70.6,84.3,99.0,82.6,86.5,70.5,70.3,55.4,54.6,79.3,63.4,83.67142857142856,74.63711484593837,22,79.81156462585034,75.30763638788848,21
22,SGP,74.125,Singapore,79.15966386554622,2020.0,5893519.0,70.5,,76.2,94.6,98.6,74.2,74.2,72.0,74.7,91.5,,96.1,44.1,58.2,47.2,27.0,83.1,45.9,81.18333333333332,74.59488795518207,23,78.05,77.11155462184875,17
23,MLT,,Malta,71.68067226890756,2020.0,509595.0,75.7,99.7,66.3,91.3,99.0,63.7,48.7,72.1,86.1,72.8,86.6,90.3,53.6,79.5,69.5,82.7,68.6,56.7,82.67142857142858,73.69033613445379,24,78.44761904761906,75.0641456582633,22
