Country;Pollution;Ocean & Fisheries Health;Agricultural Productivity;Ecosystem Health;Biodiversity;Climate Stability;Clean Energy;Water Availability;Environment / Ecology
Afghanistan;1,2;;3,4;2,8;5,8;4,2;6,0;3,3;3,8
Albania;4,3;3,9;4,1;7,4;6,7;5,3;8,5;7,1;5,9
Algeria;5,8;2,9;2,8;3,4;7,4;6,0;1,1;1,1;3,8
Angola;2,1;2,8;3,5;3,4;7,7;7,4;5,9;6,4;4,9
Argentina;5,2;3,8;4,8;4,2;6,6;7,6;2,8;6,4;5,2
Armenia;3,4;;2,4;7,8;6,9;5,5;4,0;3,5;4,8
Australia;8,9;6,4;5,3;5,9;8,9;6,2;2,5;9,3;6,7
Austria;9,3;;3,6;7,4;7,3;5,2;6,6;6,3;6,5
Azerbaijan;3,9;;4,6;5,6;6,9;5,2;1,5;3,2;4,4
Bahrain;7,0;3,3;3,9;3,9;7,7;5,4;1,0;1,0;4,2
Bangladesh;2,0;4,3;4,1;3,7;6,1;6,4;1,2;5,4;4,1
Belarus;5,8;;4,2;5,7;8,1;5,0;1,2;6,0;5,1
Belgium;8,4;5,8;3,1;7,1;6,9;5,8;3,3;3,5;5,5
Benin;2,7;2,5;4,4;6,7;7,3;7,2;1,4;5,6;4,7
Bolivia;3,3;;4,7;6,4;8,0;7,6;3,2;9,9;6,2
Bosnia and Herzegovina;4,1;4,0;4,5;3,6;5,9;5,1;3,2;7,5;4,7
Botswana;3,2;;3,4;7,4;9,1;6,2;1,2;5,6;5,2
Brazil;5,9;6,5;4,3;5,7;6,8;6,2;7,0;9,9;6,5
Bulgaria;5,8;4,8;4,2;7,8;7,3;6,2;3,6;4,3;5,5
Burkina Faso;2,8;;4,0;6,8;7,8;6,1;2,2;5,3;5,0
Burundi;3,0;;4,4;4,4;6,7;7,0;5,4;5,2;5,2
Cambodia;2,9;3,6;3,4;6,7;5,6;7,3;4,9;7,0;5,2
Cameroon;2,7;3,1;3,8;5,4;7,2;7,0;5,5;7,7;5,3
Canada;9,0;4,2;5,6;5,5;9,4;5,0;6,0;9,8;6,8
Central African Republic;2,6;;4,5;6,4;8,7;7,8;6,6;10,0;6,7
Chad;2,9;;4,9;5,2;8,3;6,4;1,2;5,5;4,9
Chile;6,8;6,6;3,4;4,0;7,4;8,0;4,5;9,0;6,2
China;4,2;3,2;3,6;3,5;5,0;6,1;3,1;3,9;4,1
Colombia;6,1;6,0;3,8;6,3;6,6;7,1;5,7;9,9;6,4
Congo Democratic Republic;3,0;2,4;3,3;5,0;8,4;7,9;9,7;7,7;5,9
Congo Republic;2,0;3,0;3,7;6,4;8,9;8,0;3,4;10,0;5,7
Costa Rica;4,9;3,5;3,9;6,9;6,5;8,2;8,2;9,8;6,5
Cote d'Ivoire;2,6;1,7;4,0;6,7;5,8;7,0;2,5;5,9;4,5
Croatia;7,2;6,1;4,0;8,0;7,3;4,7;5,4;7,3;6,3
Cuba;4,7;3,6;3,9;5,8;6,3;6,7;1,3;5,1;4,7
Cyprus;7,5;3,4;3,5;6,7;1,7;5,8;1,8;4,3;4,3
Czechia;7,9;;3,4;7,8;7,6;5,1;2,7;4,6;5,6
Denmark;9,7;6,2;3,2;6,2;7,5;5,1;6,3;4,4;6,1
