Country;Inclusion of Youth;Political Inclusion;Access to Finance;Group-based Inclusion;Access to Economic Resources;Access to Employment;Protection Against Precarity;Inclusion
Afghanistan;3,3;5,0;1,5;3,2;2,9;3,1;2,0;3,0
Albania;3,8;7,3;3,8;7,2;7,5;6,4;6,1;6,0
Algeria;2,3;5,9;3,2;5,6;8,1;4,4;8,0;5,4
Angola;6,0;5,6;2,6;3,3;3,1;6,9;2,3;4,2
Argentina;4,0;8,5;5,1;7,6;6,0;6,5;7,2;6,4
Armenia;3,8;7,4;4,7;7,4;7,9;5,3;6,5;6,1
Australia;8,8;8,5;9,9;8,6;8,0;7,8;9,9;8,8
Austria;7,4;9,1;9,8;8,6;8,6;7,7;9,4;8,7
Azerbaijan;4,6;3,9;3,3;5,0;3,3;6,9;5,5;4,6
Bahrain;4,9;3,4;7,9;3,7;6,9;7,3;7,3;5,9
Bangladesh;4,3;5,4;3,8;3,4;6,2;5,3;4,5;4,7
Belarus;5,6;6,1;8,3;8,0;9,0;8,3;6,0;7,3
Belgium;4,8;9,3;9,1;8,9;9,1;7,3;9,7;8,3
Benin;5,3;6,1;3,7;6,2;4,5;7,1;2,1;5,0
Bolivia;5,7;6,5;4,7;6,7;5,1;6,5;6,0;5,9
Bosnia and Herzegovina;3,7;6,4;5,4;5,9;7,4;5,5;5,5;5,7
Botswana;4,6;6,1;4,5;7,3;4,9;7,0;3,6;5,4
Brazil;5,9;6,5;6,9;6,4;3,6;6,4;7,6;6,2
Bulgaria;3,2;7,8;6,7;7,7;6,1;7,7;8,1;6,8
Burkina Faso;5,7;5,9;3,5;6,8;6,2;6,2;2,5;5,2
Burundi;6,1;5,2;1,3;4,2;5,0;7,9;3,5;4,7
Cambodia;7,8;4,4;2,7;3,8;3,2;8,2;3,7;4,8
Cameroon;6,1;5,5;3,1;3,9;4,3;7,2;2,5;4,7
Canada;8,5;8,8;10,0;8,7;8,3;7,7;10,0;8,9
Central African Republic;5,8;4,8;1,6;2,4;1,6;6,2;1,4;3,4
Chad;6,2;4,2;2,0;2,7;4,0;6,4;1,1;3,8
Chile;4,4;8,0;6,9;6,6;5,6;6,4;8,0;6,6
China;6,2;5,2;7,3;5,8;6,1;7,3;8,2;6,6
Colombia;5,2;6,1;4,3;4,6;3,8;6,1;7,0;5,3
Congo Democratic Republic;4,3;4,2;2,5;2,8;4,4;6,0;2,5;3,8
Congo Republic;4,6;3,2;2,4;3,0;4,0;6,0;2,9;3,7
Costa Rica;5,2;9,4;5,7;8,3;5,9;6,1;7,3;6,8
Cote d'Ivoire;3,6;5,6;4,2;5,8;5,0;5,8;3,6;4,8
Croatia;4,0;7,8;7,8;7,5;8,4;7,1;6,8;7,0
Cuba;4,2;6,3;;8,2;7,6;6,7;7,0;6,6
Cyprus;5,4;7,9;7,7;7,6;8,3;7,6;7,5;7,4
