Country;Government Debt and Credit;Government Effectiveness;Disaster Risk Reduction;Public Health;Education System ;Rule of Law;Freedom from Corruption;State Capacity
Afghanistan;9,1;2,1;5,3;3,3;2,9;2,8;1,8;3,9
Albania;5,9;5,6;1,5;6,6;6,9;6,3;3,5;5,2
Algeria;8,7;3,9;8,1;5,6;6,5;4,1;3,7;5,8
Angola;4,3;3,5;5,1;4,1;2,8;4,9;3,6;4,0
Argentina;4,6;5,5;7,2;6,4;7,0;6,3;5,2;6,0
Armenia;6,4;5,5;4,3;6,7;6,3;6,3;5,9;5,9
Australia;8,7;8,8;8,0;7,8;7,6;9,4;8,9;8,4
Austria;7,8;8,3;7,9;8,0;7,1;9,1;8,5;8,1
Azerbaijan;6,5;4,4;1,0;7,0;6,4;3,9;2,2;4,5
Bahrain;4,1;4,9;6,9;6,3;6,9;3,9;4,4;5,3
Bangladesh;6,9;5,3;5,5;4,5;5,3;3,6;2,4;4,8
Belarus;5,9;3,5;8,0;8,3;7,2;4,0;5,3;6,0
Belgium;7,2;8,0;;8,2;7,8;8,5;8,9;8,1
Benin;7,3;5,5;4,4;4,0;3,6;5,9;5,9;5,2
Bolivia;5,9;4,4;5,4;5,3;6,6;4,8;3,7;5,2
Bosnia and Herzegovina;6,0;3,7;1,0;6,9;5,5;5,8;3,5;4,6
Botswana;8,5;6,7;5,2;5,9;5,7;6,7;7,3;6,6
Brazil;5,6;5,3;6,3;6,8;6,1;6,3;4,7;5,9
Bulgaria;7,1;5,9;8,0;7,2;6,1;6,8;4,7;6,5
Burkina Faso;7,2;3,7;6,9;4,0;4,2;5,4;5,0;5,2
Burundi;5,7;2,0;6,4;3,4;4,2;3,8;1,8;3,9
Cambodia;7,3;4,7;4,7;5,1;5,4;3,9;1,9;4,7
Cameroon;6,1;3,4;5,8;3,9;4,0;3,4;2,3;4,1
Canada;8,0;9,0;7,7;7,3;7,3;8,2;8,9;8,1
Central African Republic;6,7;1,6;;1,5;1,8;3,5;2,6;3,0
Chad;6,6;1,9;;1,8;1,9;3,6;1,6;2,9
Chile;8,3;8,0;8,0;7,4;6,8;7,7;8,1;7,8
China;7,8;5,9;8,3;6,5;6,4;4,7;5,3;6,4
Colombia;6,3;6,3;8,5;6,4;6,6;6,1;5,0;6,5
Congo Democratic Republic;5,2;1,6;2,2;3,7;3,4;3,6;2,0;3,1
Congo Republic;5,1;3,0;;3,8;4,5;3,5;2,3;3,7
Costa Rica;5,4;6,8;9,3;6,7;7,2;7,9;7,0;7,2
Cote d'Ivoire;8,0;4,1;3,5;4,1;4,0;5,1;4,1;4,7
Croatia;6,5;6,5;4,5;6,7;6,9;7,5;5,9;6,3
Cuba;3,7;4,8;8,3;7,4;6,5;3,7;5,0;5,6
Cyprus;5,7;6,6;;6,9;7,1;8,2;6,8;6,9
Czechia;8,0;7,0;8,6;7,8;7,2;8,1;6,5;7,6
Denmark;9,5;9,2;5,7;7,9;7,5;9,5;10,0;8,5
Dominican Republic;6,2;4,9;6,0;6,1;6,2;5,9;3,5;5,6
Ecuador;5,2;5,2;7,5;6,2;6,6;5,8;4,4;5,8
Egypt;4,9;4,2;6,9;6,2;6,0;3,9;3,2;5,1
El Salvador;5,1;4,9;5,3;6,0;5,6;5,2;3,5;5,1
Equatorial Guinea;7,4;2,0;;4,1;3,0;2,8;1,8;3,5
Estonia;8,4;8,2;9,3;7,3;7,4;8,3;8,6;8,2
Eswatini;7,0;3,9;6,0;5,0;5,0;4,1;4,2;5,0
Ethiopia;5,5;4,4;8,6;2,7;3,5;5,1;4,7;4,9
Finland;8,1;9,3;8,3;8,3;7,8;9,5;9,6;8,7
France;7,2;8,0;7,5;8,1;7,0;8,6;8,1;7,8
Gabon;6,1;3,2;3,7;4,9;4,8;4,7;3,0;4,3
Gambia;5,8;4,6;6,6;4,2;4,8;6,2;5,1;5,3
Georgia;5,6;5,7;7,2;6,9;6,5;6,7;7,0;6,5
Germany;8,3;8,4;7,4;7,9;6,9;9,1;9,4;8,2
Ghana;5,6;5,6;7,7;4,3;5,4;6,4;4,4;5,6
Greece;4,4;6,1;8,5;8,1;7,2;7,8;6,1;6,9
Guatemala;7,0;4,4;4,8;5,1;5,0;4,9;2,9;4,9
Guinea;6,4;2,6;5,6;3,5;2,8;3,8;2,8;3,9
Guinea Bissau;6,8;1,9;2,5;2,5;5,7;3,8;2,2;3,6
Haiti;7,0;2,1;4,3;3,0;4,4;3,8;2,2;3,8
Honduras;6,7;4,7;5,3;5,3;5,1;4,7;2,8;4,9
Hungary;6,7;6,8;8,9;7,2;6,7;6,9;5,2;6,9
India;7,1;7,0;9,3;5,2;5,9;6,1;4,9;6,5
Indonesia;6,9;7,1;7,9;5,8;6,2;5,5;3,5;6,1
Iran;8,5;3,5;6,2;6,2;6,3;3,1;2,8;5,2
Iraq;4,3;2,0;4,1;5,8;2,7;3,4;2,2;3,5
Ireland;8,3;8,3;4,6;7,3;7,6;9,1;8,5;7,7
Israel;7,7;7,8;;7,4;7,2;7,8;7,2;7,5
Italy;5,8;6,6;7,1;8,5;6,9;7,9;6,7;7,1
Jamaica;5,7;7,0;5,5;6,0;5,5;6,5;6,2;6,0
Japan;5,6;8,8;9,3;8,5;7,9;8,1;8,3;8,1
Jordan;5,6;5,2;5,9;6,1;5,5;5,2;5,3;5,5
Kazakhstan;6,5;4,9;7,2;7,4;6,8;4,9;3,5;5,9
Kenya;5,8;5,4;6,7;4,4;5,7;5,5;3,6;5,3
South Korea;8,6;5,7;9,6;7,9;7,2;8,2;7,5;7,8
Kuwait;7,2;4,9;5,5;6,6;6,5;4,9;4,9;5,8
Kyrgyzstan;6,0;4,1;7,7;6,6;6,7;5,2;3,3;5,6
Laos;5,9;3,9;4,4;4,2;5,3;5,4;3,2;4,6
Latvia;7,9;6,9;;6,7;7,3;8,1;7,1;7,4
Lebanon;2,7;2,8;6,2;6,1;4,5;4,2;2,9;4,2
Lesotho;6,8;4,3;1,9;5,3;5,9;6,0;4,9;5,0
Liberia;6,4;3,2;9,8;3,9;3,2;5,3;3,1;5,0
Libya;5,7;1,3;;6,2;;3,1;2,1;3,7
Lithuania;7,8;7,1;6,6;7,7;7,3;8,8;7,4;7,5
Madagascar;6,8;4,0;5,9;3,0;4,2;4,4;2,8;4,4
Malawi;6,1;4,5;7,7;4,2;4,5;6,0;3,5;5,2
Malaysia;7,4;7,9;7,7;6,6;6,6;5,7;5,7;6,8
Mali;8,0;2,1;5,7;4,1;2,6;4,7;3,3;4,4
Mauritania;6,8;4,2;5,8;3,9;4,3;3,3;2,7;4,4
Mauritius;6,5;7,8;8,2;6,5;6,7;7,3;5,7;6,9
Mexico;6,8;5,8;6,7;6,5;6,6;5,6;4,0;6,0
Moldova;6,7;5,0;4,3;6,7;6,7;6,1;3,8;5,6
Mongolia;5,3;5,6;7,0;5,6;6,9;6,2;4,1;5,8
Morocco;6,7;5,4;5,8;5,7;5,7;5,8;5,0;5,7
Mozambique;5,4;3,2;8,2;3,9;3,6;5,1;3,7;4,7
Myanmar;6,5;4,1;4,6;4,7;5,7;4,6;4,6;5,0
Namibia;7,5;5,8;6,9;5,1;6,0;7,1;6,1;6,3
Nepal;7,9;4,8;6,0;5,1;6,5;5,7;3,8;5,7
Netherlands;8,5;9,4;9,1;7,4;7,4;8,7;9,3;8,6
New Zealand;9,0;9,0;8,4;7,2;7,5;9,2;9,8;8,6
Nicaragua;6,3;3,9;5,9;5,7;4,9;4,6;2,0;4,8
Niger;8,1;3,2;4,8;2,4;2,4;4,7;3,8;4,2
Nigeria;5,8;3,9;7,9;3,6;3,8;4,8;2,3;4,6
North Macedonia;6,1;6,1;6,9;7,0;6,0;5,7;4,0;6,0
Norway;8,7;9,6;8,9;8,5;7,4;9,3;9,5;8,9
Oman;5,8;5,2;;6,0;6,7;4,9;6,3;5,8
Pakistan;5,2;5,2;7,2;4,7;4,2;4,1;3,1;4,8
Panama;6,9;6,3;5,4;6,3;5,8;6,2;4,5;5,9
Papua New Guinea;5,9;5,3;5,1;3,3;4,4;5,5;3,2;4,7
Paraguay;6,6;5,5;6,8;6,1;5,5;6,3;3,2;5,7
Peru;7,4;5,5;8,0;6,0;6,4;6,5;4,5;6,3
Philippines;7,3;5,6;7,3;5,7;6,4;5,7;3,9;6,0
Poland;7,3;6,3;7,1;7,8;7,1;7,2;7,1;7,1
Portugal;6,0;7,7;8,5;7,7;7,2;8,3;7,3;7,5
Qatar;8,7;6,1;7,3;6,5;7,0;4,9;6,3;6,7
Romania;7,0;5,5;4,9;7,0;6,0;7,4;5,2;6,1
Russia;7,2;4,3;8,4;7,2;7,2;4,1;3,2;6,0
Rwanda;5,8;5,6;7,7;4,9;4,9;5,7;5,9;5,8
Saudi Arabia;6,9;5,1;10,0;6,5;6,5;4,4;5,6;6,4
Senegal;6,8;5,9;5,9;4,9;4,6;5,8;5,5;5,6
Serbia;6,1;5,8;4,2;7,2;6,8;6,0;4,1;5,7
Sierra Leone;5,8;3,6;7,2;3,2;5,2;5,4;4,1;4,9
Singapore;8,0;9,2;9,7;7,1;7,5;7,8;9,7;8,4
Slovakia;7,2;6,8;6,3;7,5;6,7;8,0;6,3;7,0
Slovenia;7,2;6,8;9,0;7,6;7,4;8,2;6,7;7,6
Somalia;5,6;1,5;7,8;2,1;;2,4;1,4;3,4
South Africa;5,9;6,9;6,3;6,3;5,8;7,0;5,3;6,2
South Sudan;7,2;1,0;;1,4;1,5;3,2;1,2;2,6
Spain;6,5;7,4;8,6;7,6;7,3;8,8;8,0;7,8
Sri Lanka;5,1;5,9;7,8;6,2;6,5;5,7;4,4;5,9
Sudan;4,2;2,7;5,8;3,5;4,0;3,1;3,0;3,7
Sweden;9,2;9,2;5,8;7,6;8,0;9,3;9,7;8,4
Switzerland;9,2;9,2;9,3;8,2;6,8;9,3;9,5;8,8
Syria;7,6;1,6;6,0;4,8;5,0;1,9;1,6;4,1
Tajikistan;4,9;3,6;7,3;6,3;5,5;3,9;2,4;4,8
Tanzania;6,8;4,8;7,1;3,7;4,5;5,9;5,3;5,4
Thailand;7,7;5,9;6,3;6,7;6,6;5,3;3,7;6,0
Timor-Leste;8,1;5,3;4,1;5,1;6,6;5,8;5,1;5,7
Togo;7,3;3,4;2,7;3,9;4,4;4,3;3,0;4,1
Trinidad and Tobago;6,9;6,8;6,7;6,9;6,9;6,8;6,3;6,7
Tunisia;5,5;5,6;4,0;6,4;6,5;6,3;5,7;5,7
Turkey;5,9;5,7;6,1;6,3;6,6;4,6;3,9;5,6
