Country;Inclusion;Social Cohesion;State Capacity;Individual Capabilities/ Resources;Environment / Ecology;Economy;Civic Space;Capacity Score
New Zealand;9,1;7,2;8,6;8,6;7,2;7,1;9,2;8,1
Norway;9,2;8,1;8,9;9,2;7,2;6,8;9,4;8,4
Sweden;9,0;7,8;8,4;9,0;7,0;7,6;9,5;8,3
Finland;9,0;7,7;8,7;9,2;6,8;7,2;9,3;8,3
Canada;8,9;6,8;8,1;8,9;6,8;6,9;8,6;7,8
Paraguay;5,3;6,6;5,7;6,7;6,8;4,5;6,5;6,0
Australia;8,8;6,4;8,4;8,9;6,7;7,0;8,6;7,8
Central African Republic;3,4;2,9;3,0;2,0;6,7;3,3;4,0;3,6
Slovenia;8,2;5,3;7,6;8,7;6,6;6,4;8,0;7,3
Austria;8,7;6,8;8,1;8,9;6,5;7,2;8,6;7,8
Brazil;6,2;5,3;5,9;7,0;6,5;5,3;7,0;6,2
Switzerland;9,0;7,4;8,8;9,3;6,5;7,7;9,1;8,3
Costa Rica;6,8;7,4;7,2;7,7;6,5;5,4;8,9;7,1
Colombia;5,3;4,6;6,5;7,1;6,4;5,0;6,6;5,9
Latvia;7,7;4,7;7,4;8,1;6,4;5,8;8,1;6,9
Zambia;4,7;5,6;4,7;4,3;6,3;3,5;5,5;4,9
Gabon;5,1;5,9;4,3;5,3;6,3;4,0;5,4;5,2
Romania;6,5;4,6;6,1;7,6;6,3;5,6;7,4;6,3
Lithuania;7,8;4,8;7,5;8,2;6,3;5,9;8,4;7,0
United Kingdom;8,4;6,2;8,2;8,8;6,3;7,4;8,7;7,7
Ecuador;5,9;5,5;5,8;7,0;6,3;4,5;6,9;6,0
Croatia;7,0;4,6;6,3;8,0;6,3;5,9;7,6;6,5
Chile;6,6;5,5;7,8;8,1;6,2;5,7;8,2;6,9
France;8,1;5,8;7,8;8,8;6,2;7,2;8,5;7,5
Estonia;8,2;5,7;8,2;8,4;6,2;6,4;8,7;7,4
Bolivia;5,9;4,5;5,2;6,2;6,2;4,4;6,2;5,5
Panama;5,9;5,9;5,9;7,4;6,2;5,4;7,3;6,3
Ireland;8,5;8,0;7,7;9,4;6,1;6,9;8,8;7,9
Denmark;9,0;7,7;8,5;9,1;6,1;7,5;9,5;8,2
Malawi;5,1;5,6;5,2;4,4;6,0;3,5;6,2;5,2
Spain;7,6;5,9;7,8;8,4;6,0;6,5;8,6;7,3
Peru;5,9;4,1;6,3;7,1;6,0;5,1;7,5;6,0
Germany;8,8;6,6;8,2;9,0;6,0;7,6;8,9;7,9
Slovakia;7,5;5,0;7,0;8,0;6,0;5,9;8,2;6,8
Congo Democratic Republic;3,8;2,8;3,1;3,2;5,9;2,9;3,9;3,7
Albania;6,0;4,7;5,2;7,2;5,9;5,1;6,8;5,9
Japan;8,4;5,5;8,1;8,5;5,9;7,9;8,1;7,5
Venezuela;5,2;4,6;4,7;6,2;5,8;3,1;3,9;4,8
Uruguay;7,3;7,6;7,5;7,8;5,8;5,1;8,7;7,1
Portugal;7,9;6,4;7,5;8,3;5,8;6,5;8,6;7,3
Uganda;5,1;4,0;4,7;4,5;5,8;4,0;5,3;4,8
Laos;5,2;4,5;4,6;5,6;5,8;4,1;2,9;4,7
Namibia;5,4;6,3;6,3;5,6;5,8;4,4;7,0;5,8
United States;7,8;5,8;7,6;8,7;5,8;7,8;8,2;7,4
Nepal;5,8;3,8;5,7;5,3;5,7;4,6;6,2;5,3
Congo Republic;3,7;3,1;3,7;4,2;5,7;3,2;3,8;3,9
Greece;7,1;4,8;6,9;8,2;5,7;5,7;8,2;6,7
Netherlands;9,2;6,6;8,6;9,1;5,7;7,2;9,0;7,9
