country,units,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ALBANIA,thousands,645,748,937,1 127,1 420,1 856,2 417,2 932,3 514,3 256,3 673,4 131,4 736,5 118,5 927,6 406,2 658,5 689,7 544
ALGERIA,thousands,1 234,1 443,1 638,1 743,1 772,1 912,2 070,2 395,2 634,2 733,2 301,1 710,2 039,2 451,2 657,2 371,591,125,1 398
ANDORRA,thousands,11 668,11 049,10 737,10 743,10 194,9 112,8 551,7 983,7 900,7 676,7 797,7 850,8 025,8 152,8 328,8 235,5 207,5 422,8 427
ANGUILLA,thousands,121,143,167,164,128,112,118,124,129,151,177,186,176,151,87,166,41,29,96
ANTIGUA AND BARBUDA,thousands,769,712,838,935,863,944,788,848,819,777,771,894,874,1 040,1 064,1 035,276,250,642
ARUBA,thousands,1 304,1 286,1 285,1 254,1 383,1 420,1 394,1 469,1 481,1 667,1 739,1 832,1 758,1 863,1 897,1 951,623,943,1 711
AUSTRALIA,thousands,5 215,5 499,5 532,5 644,5 586,5 490,5 790,5 771,6 032,6 482,6 922,7 449,8 269,8 815,9 246,9 466,1 828,246,3 694
AZERBAIJAN,thousands,1 279,1 177,1 194,1 333,1 899,1 830,1 963,2 239,2 484,2 509,2 298,2 006,2 249,2 697,2 850,3 170,796,792,1 602
BAHAMAS,thousands,5 004,4 779,4 731,4 601,4 394,4 645,5 255,5 588,5 940,6 151,6 320,6 112,6 265,6 136,6 622,7 250,1 795,2 101,7 001
BAHRAIN,thousands,5 667,6 313,7 289,7 833,8 631,8 861,11 952,6 732,8 062,9 163,10 452,9 670,10 158,11 374,12 045,11 061,1 909,3 612,9 949
BARBADOS,thousands,1 273,1 111,1 102,1 191,1 165,1 154,1 197,1 187,1 053,1 079,1 079,1 179,1 227,1 345,1 356,966,546,242,898
BELARUS,thousands,1 816,4 738,5 276,5 283,5 262,4 872,5 674,5 877,6 130,6 242,5 375,4 386,10 935,11 060,11 502,11 832,3 598,3 361,4 920
BERMUDA,thousands,478,517,635,660,550,554,580,652,610,576,580,597,642,688,766,805,51,86,549
BULGARIA,thousands,6 982,7 282,7 499,7 726,8 533,7 873,8 374,8 713,8 867,9 192,9 409,9 317,10 604,11 596,12 368,12 552,4 973,7 188,10 888
CANADA,thousands,38 845,36 160,33 390,30 373,27 370,24 696,25 621,25 066,25 318,25 167,25 558,27 555,30 142,31 081,31 274,32 430,5 068,4 282,17 924
