code;country;curency;year;powercode;revenue
AUS;Australia;US Dollars;2008;Millions;31159.8
AUS;Australia;US Dollars;2009;Millions;29980.7
AUS;Australia;US Dollars;2010;Millions;35165.5
AUS;Australia;US Dollars;2011;Millions;38710.1
AUS;Australia;US Dollars;2012;Millions;38003.7
AUS;Australia;US Dollars;2013;Millions;36965
AUS;Australia;US Dollars;2014;Millions;38047.9
AUS;Australia;US Dollars;2015;Millions;36226
AUS;Australia;US Dollars;2016;Millions;39082.3
AUS;Australia;US Dollars;2017;Millions;43974.4
AUS;Australia;US Dollars;2018;Millions;47259.8
AUS;Australia;US Dollars;2019;Millions;47930.9
AUS;Australia;US Dollars;2020;Millions;26414.1
AUT;Austria;US Dollars;2008;Millions;21499.2
AUT;Austria;US Dollars;2009;Millions;19302.8
AUT;Austria;US Dollars;2010;Millions;18577.7
AUT;Austria;US Dollars;2011;Millions;19833
AUT;Austria;US Dollars;2012;Millions;21389.2
AUT;Austria;US Dollars;2013;Millions;22741.3
AUT;Austria;US Dollars;2014;Millions;23174.4
AUT;Austria;US Dollars;2015;Millions;20360.8
AUT;Austria;US Dollars;2016;Millions;20978
AUT;Austria;US Dollars;2017;Millions;22539.4
AUT;Austria;US Dollars;2018;Millions;25277.1
AUT;Austria;US Dollars;2019;Millions;25890.1
AUT;Austria;US Dollars;2020;Millions;15346.5
AUT;Austria;US Dollars;2021;Millions;11938.583
BEL;Belgium;US Dollars;2008;Millions;13117.515
BEL;Belgium;US Dollars;2009;Millions;13008.393
BEL;Belgium;US Dollars;2010;Millions;12695.1
BEL;Belgium;US Dollars;2011;Millions;14081
BEL;Belgium;US Dollars;2012;Millions;13722.8
BEL;Belgium;US Dollars;2013;Millions;14528.3
BEL;Belgium;US Dollars;2014;Millions;15255.2
BEL;Belgium;US Dollars;2015;Millions;8977.1
BEL;Belgium;US Dollars;2016;Millions;8785.5
BEL;Belgium;US Dollars;2017;Millions;9622.6
BEL;Belgium;US Dollars;2018;Millions;10331
BEL;Belgium;US Dollars;2019;Millions;10590.3
BEL;Belgium;US Dollars;2020;Millions;7458.5
BRA;Brazil;US Dollars;2008;Millions;6109.375
BRA;Brazil;US Dollars;2009;Millions;5634.802
BRA;Brazil;US Dollars;2010;Millions;5521.89
BRA;Brazil;US Dollars;2011;Millions;6369.69
BRA;Brazil;US Dollars;2012;Millions;6623.421
BRA;Brazil;US Dollars;2013;Millions;6783.68
BRA;Brazil;US Dollars;2014;Millions;7404.353
BRA;Brazil;US Dollars;2015;Millions;6254.328
BRA;Brazil;US Dollars;2016;Millions;6612.773
BRA;Brazil;US Dollars;2017;Millions;6175.036
BRA;Brazil;US Dollars;2018;Millions;6323.462
BRA;Brazil;US Dollars;2019;Millions;6126.813
BRA;Brazil;US Dollars;2020;Millions;3099.112
BGR;Bulgaria;US Dollars;2008;Millions;4646.894
