,code,country,curency,year,powercode,revenue
0,AUS,Australia,US Dollars,2008,Millions,31159.8
1,AUS,Australia,US Dollars,2009,Millions,29980.7
2,AUS,Australia,US Dollars,2010,Millions,35165.5
3,AUS,Australia,US Dollars,2011,Millions,38710.1
4,AUS,Australia,US Dollars,2012,Millions,38003.7
5,AUS,Australia,US Dollars,2013,Millions,36965.0
6,AUS,Australia,US Dollars,2014,Millions,38047.9
7,AUS,Australia,US Dollars,2015,Millions,36226.0
8,AUS,Australia,US Dollars,2016,Millions,39082.3
9,AUS,Australia,US Dollars,2017,Millions,43974.4
10,AUS,Australia,US Dollars,2018,Millions,47259.8
11,AUS,Australia,US Dollars,2019,Millions,47930.9
12,AUS,Australia,US Dollars,2020,Millions,26414.1
13,AUT,Austria,US Dollars,2008,Millions,21499.2
14,AUT,Austria,US Dollars,2009,Millions,19302.8
15,AUT,Austria,US Dollars,2010,Millions,18577.7
16,AUT,Austria,US Dollars,2011,Millions,19833.0
17,AUT,Austria,US Dollars,2012,Millions,21389.2
18,AUT,Austria,US Dollars,2013,Millions,22741.3
19,AUT,Austria,US Dollars,2014,Millions,23174.4
20,AUT,Austria,US Dollars,2015,Millions,20360.8
21,AUT,Austria,US Dollars,2016,Millions,20978.0
22,AUT,Austria,US Dollars,2017,Millions,22539.4
23,AUT,Austria,US Dollars,2018,Millions,25277.1
24,AUT,Austria,US Dollars,2019,Millions,25890.1
25,AUT,Austria,US Dollars,2020,Millions,15346.5
26,AUT,Austria,US Dollars,2021,Millions,11938.583
27,BEL,Belgium,US Dollars,2008,Millions,13117.515
28,BEL,Belgium,US Dollars,2009,Millions,13008.393
29,BEL,Belgium,US Dollars,2010,Millions,12695.1
30,BEL,Belgium,US Dollars,2011,Millions,14081.0
31,BEL,Belgium,US Dollars,2012,Millions,13722.8
32,BEL,Belgium,US Dollars,2013,Millions,14528.3
33,BEL,Belgium,US Dollars,2014,Millions,15255.2
34,BEL,Belgium,US Dollars,2015,Millions,8977.1
35,BEL,Belgium,US Dollars,2016,Millions,8785.5
36,BEL,Belgium,US Dollars,2017,Millions,9622.6
37,BEL,Belgium,US Dollars,2018,Millions,10331.0
38,BEL,Belgium,US Dollars,2019,Millions,10590.3
39,BEL,Belgium,US Dollars,2020,Millions,7458.5
40,BRA,Brazil,US Dollars,2008,Millions,6109.375
41,BRA,Brazil,US Dollars,2009,Millions,5634.802
42,BRA,Brazil,US Dollars,2010,Millions,5521.89
43,BRA,Brazil,US Dollars,2011,Millions,6369.69
44,BRA,Brazil,US Dollars,2012,Millions,6623.421
45,BRA,Brazil,US Dollars,2013,Millions,6783.68
46,BRA,Brazil,US Dollars,2014,Millions,7404.353
47,BRA,Brazil,US Dollars,2015,Millions,6254.328
48,BRA,Brazil,US Dollars,2016,Millions,6612.773
49,BRA,Brazil,US Dollars,2017,Millions,6175.036
50,BRA,Brazil,US Dollars,2018,Millions,6323.462
51,BRA,Brazil,US Dollars,2019,Millions,6126.813
52,BRA,Brazil,US Dollars,2020,Millions,3099.112
53,BGR,Bulgaria,US Dollars,2008,Millions,4646.894
54,BGR,Bulgaria,US Dollars,2009,Millions,4113.433
55,BGR,Bulgaria,US Dollars,2010,Millions,3883.292
56,BGR,Bulgaria,US Dollars,2011,Millions,4235.306
