countrie;del;total_arrivals;del1;del2;Units;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
ALBANIA;;;;;;645;748;937;1 127;1 420;1 856;2 417;2 932;3 514;3 256;3 673;4 131;4 736;5 118;5 927;6 406;2 658;5 689;7 544
ALGERIA;;;;;;1 234;1 443;1 638;1 743;1 772;1 912;2 070;2 395;2 634;2 733;2 301;1 710;2 039;2 451;2 657;2 371;591;125;1 398
AMERICAN SAMOA;;;;;;;;;;;;40,3;41,3;50,2;49,3;51,6;47,1;38,3;42,3;51,8;58,6;;;
ANDORRA;;;;;;11 668;11 049;10 737;10 743;10 194;9 112;8 551;7 983;7 900;7 676;7 797;7 850;8 025;8 152;8 328;8 235;5 207;5 422;8 427
ANGUILLA;;;;;;121;143;167;164;128;112;118;124;129;151;177;186;176;151;87;166;41;29;96
ANTIGUA AND BARBUDA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;769;712;838;935;863;944;788;848;819;777;771;894;874;1 040;1 064;1 035;276;250;642
;;;Overnights visitors (tourists);;Thousands;246;245;254;262;266;234;230;241;247;243;249;250;265;247;269;301;125;169;265
;;;Same-day visitors (excursionists);;Thousands;523;467;584;673;597;710;558;607;572;534;522;644;609;793;795;734;151;81;377
;;;;of which, cruise passengers;Thousands;523;467;584;673;597;710;558;607;572;534;522;644;609;793;795;734;151;81;377
ARGENTINA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;9 986;9 964;10 394;11 131;3 096;460;7 503
;;;Overnights visitors (tourists);;Thousands;3 457;3 823;4 173;4 562;4 700;4 308;6 800;6 703;6 497;6 510;7 165;6 816;6 668;6 711;6 942;7 399;2 090;297;3 890
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;3 318;3 253;3 452;3 732;1 007;163;3 613
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
ARMENIA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;263;319;382;511;558;575;684;758;963;1 084;1 204;1 192;1 260;1 495;1 652;1 894;375;870;1 666
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
ARUBA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;1 304;1 286;1 285;1 254;1 383;1 420;1 394;1 469;1 481;1 667;1 739;1 832;1 758;1 863;1 897;1 951;623;943;1 711
;;;Overnights visitors (tourists);;Thousands;728;733;694;772;827;813;824;869;904;979;1 072;1 225;1 102;1 071;1 082;1 119;368;807;1 101
;;;Same-day visitors (excursionists);;Thousands;576;553;591;482;556;607;570;600;577;688;667;607;656;792;815;832;255;136;610
;;;;of which, cruise passengers;Thousands;576;553;591;482;556;607;570;600;577;688;667;607;656;792;815;832;255;136;610
AUSTRALIA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;5 215;5 499;5 532;5 644;5 586;5 490;5 790;5 771;6 032;6 482;6 922;7 449;8 269;8 815;9 246;9 466;1 828;246;3 694
